sample_id,env,il_db,cd_ps_nm,dgd_ps,pol_deg,mlse_ber,log10_ber_mlse,ctle_dc,ctle_dc2,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10:20,Base_IL10,10.0,0.0,0.0,0.0,0.00649200475749967,-2.1876211705840842,1.7602156405382146,-1.978243686217887,0.03701412197609926,-0.0668573915162881,-0.09306296324137647,-0.3019149359390946,0.09061628982018238,-0.011943535018749285,-0.05445738888611658,0.017076463328991976,1.7602156405382146,-1.978243686217887,0.03701412197609926,-0.0668573915162881,-0.09306296324137647,-0.3019149359390946,0.32705691027310135,0.09061628982018238,-0.011943535018749285,-0.05445738888611658,0.017076463328991976,-0.143801579420856,-0.18437674114273395,0.16365459987400485,0.11752029048716502,0.025026782794380177,-0.023960396510962247,0.003628455087994688
Base_IL10:21,Base_IL10,10.0,0.0,0.0,0.0,0.10941423285317828,-0.9609261803102288,-2.679891797831372,-0.7387045911342177,-0.03109501954935468,-0.0905238085257709,0.0511563139876918,-0.3500727095489286,-0.05993700961377885,0.07138618442602286,0.09376727304670994,0.052061681301742435,-2.679891797831372,-0.7387045911342177,-0.03109501954935468,-0.0905238085257709,0.0511563139876918,-0.3500727095489286,0.19999999999999996,-0.05993700961377885,0.07138618442602286,0.09376727304670994,0.052061681301742435,-0.07952045961715293,-0.24210215647287292,0.08188421382351764,-0.023997321926362513,0.07878741941157032,0.1029551222448184,0.06696534627178767
Base_IL10:22,Base_IL10,10.0,0.0,0.0,0.0,0.027182172591515792,-1.5657158343291184,0.8506129666559799,-2.2707355763203267,0.07543234446743816,-0.08155043236952884,-0.0025391365507836457,-0.3455263650306357,-0.06642501110909775,0.14886299060599198,-0.012514780213218104,0.06714893965330591,0.8506129666559799,-2.2707355763203267,0.07543234446743816,-0.08155043236952884,-0.0025391365507836457,-0.3455263650306357,0.19999999999999996,-0.06642501110909775,0.14886299060599198,-0.012514780213218104,0.06714893965330591,-0.10465823298229548,-0.25433972614903255,0.052036646698366024,0.00043099714556069535,0.11404700470203472,0.04463623600702782,0.06977101059324115
Base_IL10:23,Base_IL10,10.0,0.0,0.0,0.0,0.05239444297608035,-1.2807147724209103,-0.9940844396995686,0.6167035500606421,-0.08258771224816495,-0.0058869464495726834,-0.1264788949450895,-0.23282252659577152,-0.05245813951350014,0.022072274427741893,-0.09966711350097207,-0.09299047715578262,-0.9940844396995686,0.6167035500606421,-0.08258771224816495,-0.0058869464495726834,-0.1264788949450895,-0.23282252659577152,0.28503591516340465,-0.05245813951350014,0.022072274427741893,-0.09966711350097207,-0.09299047715578262,-0.16849055593845752,-0.15375603080076944,0.13049717386422338,-0.004733665119733367,-0.010071770976721565,-0.10100885478907921,-0.09966570184858815
Base_IL10:24,Base_IL10,10.0,0.0,0.0,0.0,0.0004873133342143518,-3.312191704981348,-2.8382659508138843,-1.9017352891195034,-0.028643392884301712,0.06262698931979678,-0.023520400463729024,-0.21653173099412443,0.0664962401120625,-0.005467336846110019,0.015873058026663302,0.09474214276920397,-2.8382659508138843,-1.9017352891195034,-0.028643392884301712,0.06262698931979678,-0.023520400463729024,-0.21653173099412443,0.4860987085840083,0.0664962401120625,-0.005467336846110019,0.015873058026663302,0.09474214276920397,-0.05241815587033868,-0.029502573367606293,0.2819777124195284,0.09141155108114021,0.03112126700801233,0.040247274035932055,0.06520344384683645
Base_IL10:25,Base_IL10,10.0,0.0,0.0,0.0,0.0015982225452623232,-2.796362747268562,2.661252021432091,2.9138543688045666,0.02521754310901252,-0.0467921816448452,-0.00803368555129768,-0.2119798997268446,0.016727086023126513,-0.013516258925152153,-0.015510355477139937,0.08493420120009117,2.661252021432091,2.9138543688045666,0.02521754310901252,-0.0467921816448452,-0.00803368555129768,-0.2119798997268446,0.5772887883424902,0.016727086023126513,-0.013516258925152153,-0.015510355477139937,0.08493420120009117,-0.042364342800590815,-0.04048166143989103,0.2565632022220502,0.12869931907611903,0.05651845537533296,0.038660075054296396,0.0694409924997405
Base_IL10:26,Base_IL10,10.0,0.0,0.0,0.0,0.006636546848156469,-2.1780578355241285,0.9915845613062746,-2.4191465253063082,-0.0013413582776204414,0.09323458488096477,-0.11919395917120255,-0.22691491995810698,0.060049393454695336,0.031221542673290453,-0.08392795005146121,0.07927899162800496,0.9915845613062746,-2.4191465253063082,-0.0013413582776204414,0.09323458488096477,-0.11919395917120255,-0.22691491995810698,0.30483729990465336,0.060049393454695336,0.031221542673290453,-0.08392795005146121,0.07927899162800496,-0.13037740983823537,-0.14313929900431238,0.1994056684381373,0.12143302779908097,0.04692819458026369,-0.02947987250239842,0.052235659871465064
Base_IL10:27,Base_IL10,10.0,0.0,0.0,0.0,0.1453556561384961,-0.8375680641209747,0.8273436573331014,-0.9347087180029165,0.0725263136553447,0.08237518650618815,-0.03687159951502906,-0.37242299225619907,-0.028950289372234744,0.1474323445870652,-0.051671872991259804,0.007749401116679422,0.8273436573331014,-0.9347087180029165,0.0725263136553447,0.08237518650618815,-0.03687159951502906,-0.37242299225619907,0.19999999999999984,-0.028950289372234744,0.1474323445870652,-0.051671872991259804,0.007749401116679422,-0.0862804080016234,-0.2588016646441404,0.05007619879249241,0.02698312561679463,0.10717678198863952,-0.000994264021810138,0.007461845782648802
Base_IL10:28,Base_IL10,10.0,0.0,0.0,0.0,0.00040058807982027225,-3.397301978021228,-0.6098203677884559,-0.8456563481794446,-0.022527171913757995,0.08738656349400216,-0.015397965544440256,-0.2638558672348951,0.017142979592660756,0.06918983598393551,-0.06315578382495475,-0.01023350883653723,-0.6098203677884559,-0.8456563481794446,-0.022527171913757995,0.08738656349400216,-0.015397965544440256,-0.2638558672348951,0.4511103235748162,0.017142979592660756,0.06918983598393551,-0.06315578382495475,-0.01023350883653723,-0.051091625158394216,-0.08531710017056461,0.2701208743782086,0.10552669108801879,0.07299594755775314,-0.016743275296470912,-0.00564553397699065
Base_IL10:29,Base_IL10,10.0,0.0,0.0,0.0,0.03578036209858597,-1.4463552686702092,1.7853847961105378,1.4879534385750837,0.09635408840388215,0.013717523833459323,0.0004219738318637159,-0.3293869457134874,0.02322276565525141,0.15451084178504523,-0.08311223167536663,0.06199873382482899,1.7853847961105378,1.4879534385750837,0.09635408840388215,0.013717523833459323,0.0004219738318637159,-0.3293869457134874,0.2372748952768151,0.02322276565525141,0.15451084178504523,-0.08311223167536663,0.06199873382482899,-0.05409215036014202,-0.2181213977182466,0.09726969742115472,0.09240242494521995,0.13849396759073018,0.009309717119446838,0.05686963930963851
Base_IL10:30,Base_IL10,10.0,0.0,0.0,0.0,0.0456835601955861,-1.3402400581543263,-0.5299961872031407,-1.2776206577053868,-0.09486187272161134,0.008040904869741784,-0.013085042522467265,-0.24777138929386902,-0.0486609825900766,-0.010214249603495942,0.019134319064937278,-0.08477472704452321,-0.5299961872031407,-1.2776206577053868,-0.09486187272161134,0.008040904869741784,-0.013085042522467265,-0.24777138929386902,0.47345651228927754,-0.0486609825900766,-0.010214249603495942,0.019134319064937278,-0.08477472704452321,-0.07389450383028909,-0.0827971474292352,0.28374320650782964,0.04628055557796044,0.020265258833396062,0.0008874907211329532,-0.05446505076894484
Base_IL10:31,Base_IL10,10.0,0.0,0.0,0.0,0.028598685079952425,-1.543653934550987,0.42568356610178815,-2.792791086125913,0.000951326703735167,-0.0421355558553718,-0.09352035621283056,-0.24455469488132198,-0.016478995281141395,0.057370315272242164,-0.08773716504982934,0.09894641040909005,0.42568356610178815,-2.792791086125913,0.000951326703735167,-0.0421355558553718,-0.09352035621283056,-0.24455469488132198,0.3583051803344375,-0.016478995281141395,0.057370315272242164,-0.08773716504982934,0.09894641040909005,-0.145628862392682,-0.13991379553435854,0.21391155784619417,0.06850452420611715,0.04703926339286561,-0.02550728194694627,0.06706478358067801
Base_IL10:32,Base_IL10,10.0,0.0,0.0,0.0,0.009163968547641073,-2.0379164100554648,-0.9118672055487679,0.48209708223407866,0.07130228248778862,-0.039675569017687554,-0.11358022575312794,-0.21403464674364375,0.0382196496945165,0.11716713291214995,0.04949725510753307,-0.05783295142254109,-0.9118672055487679,0.48209708223407866,0.07130228248778862,-0.039675569017687554,-0.11358022575312794,-0.21403464674364375,0.2986902868610115,0.0382196496945165,0.11716713291214995,0.04949725510753307,-0.05783295142254109,-0.13918681227095114,-0.12254366122308134,0.17198074285656592,0.09978767480021472,0.1291428171345597,0.06525250250125754,-0.01046210380594851
Base_IL10:33,Base_IL10,10.0,0.0,0.0,0.0,0.0017055966697502312,-2.768123660631072,1.0484157521470592,-2.155048871675637,-0.08233430822644394,0.09737349712929642,0.001190751169488441,-0.2798629494177037,0.04616743572668654,0.12969101266216132,-0.0013094348426437087,-0.0029535722676696354,1.0484157521470592,-2.155048871675637,-0.08233430822644394,0.09737349712929642,0.001190751169488441,-0.2798629494177037,0.35911703855790633,0.04616743572668654,0.12969101266216132,-0.0013094348426437087,-0.0029535722676696354,-0.04143604826296456,-0.12400846274199122,0.20735152794419529,0.13007815553744945,0.1345691394190501,0.04501821614032647,0.015885488020657895
