env,target_rms,gain,gain_ratio,drive_rms_actual,log10_ber,ber
IL10x20_RxHeavy,0.135,0.11295228976888422,0.33231035530710273,0.135,-3.526670525843706,0.00029739213186039657
IL10x20_RxHeavy,0.14,0.11713570790847253,0.34461814624440285,0.14,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.145,0.1213191260480608,0.3569259371817029,0.145,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.15,0.1255025441876491,0.369233728119003,0.15,-3.527645376849478,0.0002967253311211713
IL10x20_RxHeavy,0.155,0.12968596232723742,0.3815415190563031,0.15499999999999997,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.16,0.13386938046682573,0.39384930999360324,0.16,-3.5314551974430723,0.0002941337111432331
IL10x20_RxHeavy,0.165,0.13805279860641403,0.40615710093090335,0.165,-3.5314551974430723,0.0002941337111432331
IL10x20_RxHeavy,0.17,0.14223621674600234,0.41846489186820346,0.17,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.175,0.14641963488559065,0.43077268280550357,0.17500000000000002,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.18,0.15060305302517896,0.4430804737428037,0.18000000000000002,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.185,0.15478647116476726,0.4553882646801038,0.18500000000000003,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.19,0.15896988930435557,0.4676960556174039,0.19000000000000003,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.195,0.16315330744394388,0.480003846554704,0.19500000000000003,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.2,0.1673367255835322,0.49231163749200413,0.20000000000000004,-3.5314551974430723,0.0002941337111432331
IL10x20_RxHeavy,0.205,0.17152014372312044,0.5046194284293041,0.205,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.21,0.17570356186270877,0.5169272193666042,0.21,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.215,0.17988698000229705,0.5292350103039043,0.215,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.22,0.1840703981418854,0.5415428012412045,0.22000000000000003,-3.528588473522433,0.0002960816732839731
IL16x10,0.06,0.10264815897646452,0.3019951720402016,0.07944948686110148,-3.5981799624892434,0.0002522435311803676
IL16x10,0.065,0.10264815897646452,0.3019951720402016,0.07944948686110148,-3.5981799624892434,0.0002522435311803676
IL16x10,0.07,0.10264815897646452,0.3019951720402016,0.07944948686110148,-3.5981799624892434,0.0002522435311803676
IL16x10,0.075,0.10264815897646452,0.3019951720402016,0.07944948686110148,-3.5981799624892434,0.0002522435311803676
IL16x10,0.08,0.10335941794657065,0.30408772564451503,0.08,-3.6039254140200327,0.00024892847927522805
IL16x10,0.085,0.10981938156823134,0.3230932084972973,0.08500000000000003,-3.5811961579456835,0.0002623033529284045
IL16x10,0.09,0.11627934518989198,0.3420986913500794,0.09000000000000001,-3.5855423721404347,0.00025969143599002624
IL16x10,0.095,0.12273930881155265,0.3611041742028616,0.09500000000000001,-3.6078252294228386,0.000246703193066686
IL16x10,0.1,0.12919927243321333,0.3801096570556438,0.10000000000000002,-3.5944292347495534,0.00025443143375938584
IL16x10,0.105,0.13565923605487398,0.39911513990842595,0.10500000000000001,-3.5865676650857714,0.00025907907327472543
IL16x10,0.11,0.14211919967653466,0.4181206227612082,0.11000000000000003,-3.5877030813164077,0.0002584026235298779
IL16x10,0.115,0.14857916329819532,0.43712610561399035,0.115,-3.5877030813164077,0.0002584026235298779
IL16x10,0.12,0.15503912691985597,0.45613158846677254,0.12000000000000001,-3.5877030813164077,0.0002584026235298779
IL16x10,0.125,0.16149909054151665,0.47513707131955474,0.125,-3.5877030813164077,0.0002584026235298779
IL16x10,0.13,0.16795905416317733,0.494142554172337,0.13000000000000003,-3.5877030813164077,0.0002584026235298779
IL16x10,0.135,0.17441901778483798,0.5131480370251191,0.135,-3.5877030813164077,0.0002584026235298779
IL16x10,0.14,0.18087898140649866,0.5321535198779014,0.14000000000000004,-3.5877030813164077,0.0002584026235298779
IL16x10,0.145,0.18733894502815931,0.5511590027306835,0.14500000000000002,-3.5877030813164077,0.0002584026235298779
IL16x10,0.15,0.19379890864981997,0.5701644855834657,0.15000000000000002,-3.5877030813164077,0.0002584026235298779
IL16x10,0.155,0.20025887227148065,0.5891699684362479,0.15500000000000003,-3.5877030813164077,0.0002584026235298779
IL16x10,0.16,0.2067188358931413,0.6081754512890301,0.16,-3.6078252294228386,0.000246703193066686
IL16x10,0.165,0.21317879951480198,0.6271809341418123,0.16500000000000004,-3.5877030813164077,0.0002584026235298779
IL16x10,0.17,0.2196387631364627,0.6461864169945946,0.17000000000000007,-3.5877030813164077,0.0002584026235298779
IL16x10,0.175,0.2260987267581233,0.6651918998473766,0.175,-3.5877030813164077,0.0002584026235298779
IL16x10,0.18,0.23255869037978397,0.6841973827001588,0.18000000000000002,-3.6078252294228386,0.000246703193066686
