env,ratio,gain,gdc,gdc2,log10_ber,ber,drive_rms,symbols
IL20x20,0.8,0.35048,-3.0,-3.0,-1.3860172155283148,0.04111334233626163,0.08806613272347733,65536
IL20x20,0.8,0.35048,-3.0,0.0,-1.3095280619488843,0.04903113402887242,0.09200004200609166,65536
IL20x20,0.8,0.35048,-3.0,3.0,-1.1823867109523258,0.06570724965244186,0.0993799556048015,65536
IL20x20,0.8,0.35048,0.0,-3.0,-1.3409591564256553,0.04560798063271613,0.11695626535898161,65536
IL20x20,0.8,0.35048,0.0,0.0,-1.1990105330031346,0.0632396513591574,0.12276570970464465,65536
IL20x20,0.8,0.35048,0.0,3.0,-1.066172847734374,0.08586717050556927,0.1335974313318041,65536
IL20x20,0.8,0.35048,3.0,-3.0,-1.2168460295662378,0.06069514739702502,0.15967728405017964,65536
IL20x20,0.8,0.35048,3.0,0.0,-1.0975859817750135,0.07987557880590547,0.16809121500993554,65536
IL20x20,0.8,0.35048,3.0,3.0,-1.001508410148434,0.09965327820084624,0.18372196968695328,65536
IL20x20,1.0,0.4381,-3.0,-3.0,-1.6607560278510147,0.021839564411564757,0.11008266590434665,65536
IL20x20,1.0,0.4381,-3.0,0.0,-1.4437947002678555,0.03599194361003511,0.11500005250761457,65536
IL20x20,1.0,0.4381,-3.0,3.0,-1.243920085536274,0.05702691977779797,0.12422494450600186,65536
IL20x20,1.0,0.4381,0.0,-3.0,-1.3973361349605333,0.040055657510345115,0.146195331698727,65536
IL20x20,1.0,0.4381,0.0,0.0,-1.2431553177338355,0.05712742939953777,0.1534571371308058,65536
IL20x20,1.0,0.4381,0.0,3.0,-1.0792554691755607,0.08331909246129156,0.16699678916475508,65536
IL20x20,1.0,0.4381,3.0,-3.0,-1.2320816426095724,0.05860279873103187,0.19959660506272453,65536
IL20x20,1.0,0.4381,3.0,0.0,-1.120616598922097,0.07575013324080318,0.21011401876241942,65536
IL20x20,1.0,0.4381,3.0,3.0,-1.0096408271071518,0.0978045755984921,0.22965246210869159,65536
IL20x20,1.3,0.56953,-3.0,-3.0,-1.8221484021304777,0.01506092333644995,0.14310746567565064,65536
IL20x20,1.3,0.56953,-3.0,0.0,-1.5193950963813452,0.03024160966889566,0.14950006825989895,65536
IL20x20,1.3,0.56953,-3.0,3.0,-1.2819883332332234,0.05224102226942727,0.1614924278578024,65536
IL20x20,1.3,0.56953,0.0,-3.0,-1.4479447945587187,0.03564964466726206,0.1900539312083451,65536
IL20x20,1.3,0.56953,0.0,0.0,-1.248665403852339,0.05640720699469969,0.19949427827004754,65536
IL20x20,1.3,0.56953,0.0,3.0,-1.0854020265504907,0.0821481851834552,0.21709582591418164,65536
IL20x20,1.3,0.56953,3.0,-3.0,-1.1792216919176646,0.06618785519456216,0.2594755865815419,65536
IL20x20,1.3,0.56953,3.0,0.0,-1.0857921939409378,0.08207441691966719,0.2731482243911452,65536
IL20x20,1.3,0.56953,3.0,3.0,-0.9572490519487072,0.11034456528373433,0.29854820074129906,65536
IL20x10_TxHeavy,0.4,0.17524,-3.0,-3.0,-1.3164792579857714,0.04825260250743092,0.04403306636173866,65536
IL20x10_TxHeavy,0.4,0.17524,-3.0,0.0,-1.2974320056768989,0.05041595455111698,0.04600002100304583,65536
IL20x10_TxHeavy,0.4,0.17524,-3.0,3.0,-1.2959113350798417,0.05059279409615032,0.04968997780240075,65536
IL20x10_TxHeavy,0.4,0.17524,0.0,-3.0,-1.5490141706381084,0.028247878031280788,0.058478132679490806,65536
IL20x10_TxHeavy,0.4,0.17524,0.0,0.0,-1.5238643281051525,0.029931995543835323,0.061382854852322324,65536
IL20x10_TxHeavy,0.4,0.17524,0.0,3.0,-1.5077916912536853,0.031060490430108254,0.06679871566590205,65536
IL20x10_TxHeavy,0.4,0.17524,3.0,-3.0,-1.923821981038361,0.011917304027525192,0.07983864202508982,65536
IL20x10_TxHeavy,0.4,0.17524,3.0,0.0,-1.9493318003603968,0.011237461055109959,0.08404560750496777,65536
IL20x10_TxHeavy,0.4,0.17524,3.0,3.0,-1.9723021568271768,0.010658543038052175,0.09186098484347664,65536
IL20x10_TxHeavy,0.6,0.26286,-3.0,-3.0,-2.2291727719236185,0.005899663318619116,0.06604959954260799,65536
IL20x10_TxHeavy,0.6,0.26286,-3.0,0.0,-2.15091340310143,0.007064584057142245,0.06900003150456874,65536
IL20x10_TxHeavy,0.6,0.26286,-3.0,3.0,-2.1166713747574253,0.007644139873641241,0.0745349667036011,65536
IL20x10_TxHeavy,0.6,0.26286,0.0,-3.0,-2.5586314814791034,0.002762921325584263,0.08771719901923619,65536
IL20x10_TxHeavy,0.6,0.26286,0.0,0.0,-2.4466239590635066,0.003575823226129545,0.09207428227848348,65536
IL20x10_TxHeavy,0.6,0.26286,0.0,3.0,-2.3728591905174334,0.004237803443052786,0.10019807349885305,65536
IL20x10_TxHeavy,0.6,0.26286,3.0,-3.0,-2.7772402992104266,0.0016701662399554202,0.11975796303763471,65536
IL20x10_TxHeavy,0.6,0.26286,3.0,0.0,-2.778061689231432,0.0016670104057320801,0.12606841125745166,65536
IL20x10_TxHeavy,0.6,0.26286,3.0,3.0,-2.7048736564264533,0.001972996630556507,0.1377914772652149,65536
IL20x10_TxHeavy,0.8,0.35048,-3.0,-3.0,-2.81512461712976,0.0015306481921051186,0.08806613272347733,65536
IL20x10_TxHeavy,0.8,0.35048,-3.0,0.0,-2.787058990863063,0.0016328301430925908,0.09200004200609166,65536
IL20x10_TxHeavy,0.8,0.35048,-3.0,3.0,-2.7560962567634726,0.0017534918159151762,0.0993799556048015,65536
IL20x10_TxHeavy,0.8,0.35048,0.0,-3.0,-2.8789928087809145,0.0013213175129012382,0.11695626535898161,65536
IL20x10_TxHeavy,0.8,0.35048,0.0,0.0,-2.834443726934735,0.0014640512275337456,0.12276570970464465,65536
