real_lb,real_ber,predA,predB,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
-1.926018817029534,0.011857173725151254,-2.0842363585361756,-1.4293531291658805,-0.02375166541110793,-0.04967673191210352,-0.025127451999997656,-0.3382284765071352,-0.04104937030473368,0.0682473988192307,-0.018887802432018874,-0.0006637925994656181,-0.7734303917404506,-0.40169013517574237
-2.5015365476410425,0.0031511091904350332,-1.927299347689945,-1.3260848030622814,-0.030354846991625568,0.031807559338126824,-0.018733614695263995,-0.34555400956915433,0.0056603682911385515,0.1007346725085173,-0.04265780811748047,0.02890120832231823,0.4564446836370377,-0.3987116948245486
-2.757802862061092,0.0017466148084125611,-2.002682401109127,-1.4418478597331263,0.03755693327489812,0.030619831908558492,-0.04339204363983286,-0.29567314899418284,0.023230224303072713,0.07918080529417004,-0.014606716814064113,0.015307963686180382,-0.6576663083000689,0.629559834915826
-2.952182906829083,0.0011163929703255546,-2.1536854158791625,-1.5620230621942084,-0.00818892476921841,0.03532993903667119,-0.002129485611082567,-0.334572173588292,0.00680727427483211,0.02978891293674352,0.019949518610114004,0.03329964071107309,-0.9084256225984152,0.4917143408930338
-2.992526148507898,0.0010173581100547393,-2.1474792938082126,-1.460315155616292,-0.020312505557259948,0.027388240302691005,0.010935023598278255,-0.33135064644639145,0.03472331474492131,0.03707021048572115,-0.046701792257406484,-0.012184283661755325,0.3020552904378462,0.9487201206707587
-2.3634595156174862,0.0043305243445692886,-2.0117620712361814,-1.4405385844511174,-0.006352645671244584,-0.014430043469352878,-0.02835125130935588,-0.30901875446680815,-0.03262399124709634,0.09480052263590166,0.01199722599151355,0.04006654847162303,0.2381996976219385,-0.1683569881988688
-2.8254965039512627,0.0014945260731777585,-2.0716131056041784,-1.4950465295861977,0.0411022331943663,-0.012196671996437137,-0.04585452831953812,-0.28474435303221357,0.013670903041056115,0.06767713087999627,-0.03143801539153123,-0.01966187818807688,0.9290287352841891,0.14110469477539467
-2.5984465606490987,0.0025208873523480265,-2.1785681920675213,-1.47879461170475,-0.0198043678665032,0.04633786238361375,-0.06828940196583087,-0.2980979166100369,-0.006015557095820995,0.02470625720395326,-0.021101985768358245,0.01394674212553414,-0.7274628496334005,0.8732162433623223
-3.0724767383916194,0.0008462978968596946,-2.1096153003709546,-1.6682615457335852,0.007788052986778904,-0.007870078888210924,-0.0037787889792872537,-0.306854912930318,0.03806414612175501,0.03648882941652286,0.013915320927629616,-0.013691127121239606,0.747876342524431,-0.2981601509935614
-2.5103104719485474,0.0030880870066263325,-2.0492130242354483,-1.4263612117605198,-0.04229886604042095,0.0045787090826928225,-0.033094183416603126,-0.25312873985545126,0.01816483505357557,0.09089902539416576,-0.035222868648064204,-0.04277074370269043,0.7723149155912272,-0.1125617927136261
-2.414160822978146,0.003853356381446269,-2.109499605770918,-1.4477851444137535,-0.010619539921290694,0.04076746390175428,-0.07435842963273015,-0.3174456826526946,-0.008883087138804025,0.04410429050310297,-0.0001358857671709568,-0.027921220227278346,-0.28596848581430845,0.12334353757031669
-2.7192687310625665,0.0019086718524920772,-1.9674840779465195,-1.3721792567615363,-0.01679591095391834,0.048728031747664206,-0.02588513164715221,-0.31225534440391617,0.04144885959032121,0.07139789614814002,-0.028177320609000436,0.037884592833877684,-0.310213685973562,-0.16109314366673566
-2.2710876262627684,0.005356885623739556,-1.8847629891875826,-1.3046850378020567,-0.01603320576618634,0.02968809435576547,-0.07805802235396098,-0.27850653744120357,-0.038958956695032444,0.09868186407800578,0.04150532048527256,0.020454458705435764,-0.9925491174688416,-0.027525559390071064
-2.564161963489013,0.0027279602420051856,-2.0891321788020956,-1.5531082763909916,-0.027790334984058685,-0.025617887991377087,-0.005773686666943504,-0.2595646270567672,-0.02126243317730367,0.08121526966085053,0.0262229379556451,0.03077313326270105,0.14172228123673603,-0.7298862243586393
-1.8715447842662924,0.013441731489484299,-2.0016973976020567,-1.35298527455566,-0.040209569195890284,-0.03197378368811083,-0.02033256161898024,-0.3364408693717058,-0.03786828798634997,0.07153871472494781,-0.01823196659781814,0.0335949582219307,0.3740961396982272,-0.34650064050688123
-2.3237939767787714,0.004744670123883607,-1.8515669238856918,-1.4133059825586114,0.008931284815650309,0.006359257262589036,-0.06026582410880135,-0.31996281777419733,0.047131174643942134,0.09579200162595539,0.002703032785348625,-0.01736628488728324,0.5322220254962917,-0.5614773372137165
-1.894848152131009,0.012739484298473063,-1.712624955664107,-1.2163173013200363,-0.022570616462591286,0.042687468934997114,-0.08158004794711007,-0.34156940036419947,0.04269756521766935,0.05848226554431334,0.010134227756157688,0.036020946171148926,-0.5379272051449977,0.9079875568003273
-2.4131472998065937,0.0038623595505617976,-1.7820798964162623,-1.3404620506655882,-0.0033215814312476722,0.01642001975206322,-0.06518779279343578,-0.2584088723338334,0.043465713425006075,0.09299436430953738,0.03318031681141399,0.041686880696922446,-0.03722521617005303,0.6607730813621033
