sample_id,ctle_dc,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
26,-15.877222518714628,0.28798437049841547,-0.5406310816521712,0.040267907113599156,0.00878255633754812,-0.01786952640622117,-0.11513905379700877,0.5195634793288821,-0.18607134713590795,-0.07243657598706295,0.028682285540469057,-0.011187268353300651,-0.006114802706175425,-0.0004881771759980221,0.06263843554978675,-0.025933199672412695,-0.014579609747112246,0.002537495051452957,0.0009786625789099431
27,-11.978798501080373,0.2805207433016422,-0.5520350190126181,-0.08612307836239622,0.08157593671719997,-0.04747095581510405,-0.03041242862935492,0.4381747737820473,-0.1236502862770947,-0.05749673617362874,-0.06970352834549404,0.06539227589768008,-0.005961275942975458,0.007606333520045484,0.060050715386591624,-0.010273973974474028,-0.01407795295168251,-0.009902353698217842,0.009832258764482434
28,-11.543387719070832,0.26069576490924806,-0.5838660240349073,0.038184412471694795,0.09100864174819459,-0.08094664945199033,-0.07498405712097378,0.4401425757000724,-0.12126627505369562,0.0595788876805835,-0.07626623542782072,0.017622265344974197,-0.012022083526480501,8.811034672269512e-05,0.060789342106603805,-0.004837678630528003,0.0038892990865998026,-0.009469772960652928,0.0025599131583891083
29,-8.00338368261383,0.22425993949870354,-0.6492482993484048,-0.03929865676182537,-0.0772413386956963,0.09542451226811542,-0.027683881889949788,0.5577519499873941,-0.0506621268909411,0.06686111967064827,-0.012614453580768237,-0.07246196025466144,0.011776203402352156,0.024140622136508093,0.09695242347291527,0.019559229966321832,0.019120411701307072,0.001628726581634262,-0.0070863838050306514
30,-15.020000790757537,0.33418863439930857,-0.47600832434567564,-0.09222158163665704,0.09930143411625658,-0.008213527730508697,-0.18236457526444388,0.2180044044119831,-0.132722858107198,0.09042547817267188,0.0787280356121918,-0.09801810494808894,-0.005055557458013864,-0.018638263068061187,0.024316917980150288,-0.012395138406064307,0.012414328136490333,0.007961945795592947,-0.013019695545738055
31,-13.659778262153532,0.29482677902621723,-0.5304330721863681,0.05259547349271117,-0.05617390024805117,-0.0887259936383861,-0.1529469794844176,0.2903130666631786,-0.20699755030332884,0.08571506939302892,0.026334950297187243,-0.040197016479710385,-0.017731975215633168,-0.013429619196012349,0.03380239602973184,-0.02197197615763701,0.008932257608746937,0.003306549505417555,-0.005000391635937743
32,-8.636731308893854,0.25510479688850474,-0.5932813750138032,0.009904988205129462,-0.03240668761161487,-0.035333834215154236,-0.19220784746586042,0.4798286399745898,-0.16169936747607225,0.03960354743368049,0.004625700193608995,0.04438938742428953,-0.015983168120216745,-0.012721089692347854,0.06720481100508797,-0.010417750135755953,0.005634186245485164,0.003817766546834042,0.010281683799983848
33,-12.874047898494963,0.2739574330164218,-0.5623169117862241,-0.015208103521094375,-0.09111791016308532,-0.07056993310398219,-0.19111598541831254,0.3418184067588306,-0.22653820883365258,-0.03014427214379054,-0.010056891480761665,-0.023430288576490235,-0.017024697926563703,-0.017818781455768696,0.03973575302136687,-0.0273285657087533,-0.00961800810546359,-0.0033413098951729156,-0.002592698332256188
34,-10.2986227919722,0.27231885623739555,-0.564922285665831,-0.041540357984401415,0.04544174691505157,0.06293414672999663,-0.06055907364381583,0.3987409556266741,-0.23591150909609498,0.03033244252562044,0.0990697202378845,-0.025470047240460515,0.009566856017502592,0.005196046876273252,0.05399113720638697,-0.021974487993011393,0.002091142003892826,0.015737180398311283,0.0015715803371522212
35,-15.2856695663728,0.29700554595217515,-0.5272354410735658,-0.04930998225765019,0.03448214368109228,0.07325702661817622,-0.15718750589828515,0.37569232086660054,-0.20579543170686138,-0.047665392078152714,-0.021923641713200315,0.03468655517998125,0.005849028266426156,-0.010082799035030728,0.042464067118365374,-0.02693225880194769,-0.010753874604961427,-0.0018239629027017683,0.006860007162319453
36,-12.11116770061096,0.2673311005473927,-0.5729505137073048,0.04860575804490552,0.05338965063775958,-0.03121756731178832,-0.11013088910426297,0.537026277862687,-0.06853167051707049,0.010847377543270165,0.06906042735075883,0.07119038162749712,-0.006750805138451279,-0.0008287448700257872,0.0748567104248651,0.0019890589868528682,0.0016114628255985849,0.011996438812711537,0.013897163589419571
37,-10.873420839345453,0.2862107461826563,-0.543314064076545,-0.07944287627330358,0.05147158865079382,-0.07845751896216768,-0.12438038299291974,0.30181267016178404,-0.1689028625130857,-0.08433797287529408,-0.0957437592908025,0.015450368279848782,-0.014601596759489178,-0.012409312906482785,0.03695473009446114,-0.019955272233365184,-0.020928724948433168,-0.018020461896583618,-0.0003951388497917913
38,-8.73858651200386,0.22860847018150388,-0.640907682580545,0.0007964632956596108,-0.026374728017865424,-0.04313049641851818,-0.03518045935593235,0.5357273848672875,-0.1537841082512693,0.06298646658464324,0.08963969641856676,-0.052380196790257606,-0.009722447056537895,0.0085027839167041,0.08368648850698358,0.0029918928556693994,0.012839652207181107,0.01801686938746847,-0.00029034044406502183
39,-10.975934950643618,0.2507742725439355,-0.6007170207333798,0.02731483478362884,-0.07025980244588977,0.05771027794386461,-0.14586394061192492,0.5369332895563595,-0.0760905271020525,-0.007055693560026355,0.008803021133951728,-0.06996861286230172,0.0014876417346538645,0.0022941338872382215,0.07649388542889161,-0.003277724317371023,-0.0005515149843845263,-0.0018647348129337876,-0.007919016554329398
40,-14.773382041332518,0.28240240564678765,-0.549131608064018,0.07227505505723959,0.06352106564599551,-0.060468414263600445,-0.11635083604764307,0.5094911026535307,-0.08863145314016209,-0.04967443320316152,0.02090271433543263,-0.018684925653234374,-0.011990059966353292,-0.0021636113691494096,0.06579918714527141,-0.010024669024219777,-0.01124096092605695,0.00030544684930029943,-0.0008236248333944795
41,-12.5500646459518,0.3055315471045808,-0.5149439408188313,0.06840653381055387,-0.047050128588282614,-0.09708213976364072,-0.021456768071088234,0.4384518665947893,-0.24325775992081705,-0.040630446594500005,0.019408866509831226,0.024255490146497017,-0.01586363860488688,0.002304855799933571,0.05656743334363975,-0.019537434101190826,-0.015528998158099706,0.0014459540879066446,0.005673084588348197
